"ID","SMILES","pIC50"
"CHEMBL3640018","CN[C@@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1","7.6"
"CHEMBL3647725","CS(=O)(=O)CCNC1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1","8.4"
"CHEMBL3647747","CC(C)N[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1","8.1"
"CHEMBL3647762","CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@@H](C#N)C1","7.68"
"CHEMBL3647777","CC(C)(C)N[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@@H](C#N)C1","7.58"
"CHEMBL3647794","CC(C)(O)CN[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1","7.38"
"CHEMBL3647795","COCC(C)(C)N[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1","7.37"
"CHEMBL3647797","N#C[C@H]1C[C@@H](NCC(F)(F)F)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1","7.47"
"CHEMBL3647801","COC(C)(C)CN[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1","7.32"
"CHEMBL3647807","COCC(C)(C)N(C)[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1","7.2"
"CHEMBL3647809","COCCN[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1","7.64"
"CHEMBL3647812","COCC(C)N(C)[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1","7.5600000000000005"
"CHEMBL3647835","CC(C)(c1ccc(Nc2nn([C@H]3CC[C@](C)(O)C[C@@H]3C#N)cc2C(N)=O)cc1)C(O)C(F)(F)F","8.61"
"CHEMBL3647843","C[C@@]1(O)CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1","7.77"
"CHEMBL3647845","C[C@]1(O)CC[C@H](n2cc(C(N)=O)c(Nc3ccc([C@@](C)(O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1","9.0"
"CHEMBL3647849","N#C[C@H]1C[C@@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1","8.22"
"CHEMBL3647852","N#Cc1ccc(Nc2nn([C@H]3CC[C@H](O)C[C@@H]3C#N)cc2C(N)=O)cc1","8.52"
"CHEMBL3647865","CC(C)(CF)c1ccc(Nc2nn([C@H]3CC[C@H](O)C[C@@H]3C#N)cc2C(N)=O)cc1","8.22"
"CHEMBL3647869","CC(C)NC(=O)O[C@@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1","7.72"
"CHEMBL3647919","[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(/C(C)=N/OC)cc2)n1","8.7"
"CHEMBL3647923","N#C[C@@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)CC(F)(F)F)cc2)n1","8.375"
"CHEMBL3647924","N#C[C@H]1C[C@H](O)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1","8.015"
"CHEMBL3647928","[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(CC(=O)O)cc2)n1","7.31"
"CHEMBL3647930","CC1(C)CC[C@H](C#N)[C@@H](n2cc(C(N)=O)c(Nc3ccccc3)n2)C1","7.3"
"CHEMBL3650683","CS(=O)(=O)c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(N)=O)cc1","8.15"
"CHEMBL3699463","[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccccc2)n1","7.44"
"CHEMBL3699472","N#C[C@H]1C(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCC[C@@H]1O","7.0"
"CHEMBL3699488","N#C[C@@H]1CC(CO)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1","7.66"
"CHEMBL3699490","CN(C)CC1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1","6.45"
"CHEMBL3699491","CC1(C)CC[C@@H](C#N)[C@@H](n2cc(C(N)=O)c(Nc3ccccc3)n2)C1","6.75"
"CHEMBL3699493","CC(C)(C)OC(=O)NC1CC[C@@H](C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1","7.7"
"CHEMBL3699506","N#Cc1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1","8.05"
"CHEMBL3699528","CC(=O)c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1","8.7"
"CHEMBL3699529","CC(C)(c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(N)=O)cc1)[C@H](O)C(F)(F)F","7.52"
"CHEMBL3699531","CC(C)(c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(N)=O)cc1)[C@@H](O)C(F)(F)F","9.0"
"CHEMBL3702926","N#C[C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1","7.72"
"CHEMBL3702927","N#C[C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(OC(F)(F)F)cc2)n1","8.0"
"CHEMBL3702958","N#C[C@H]1C[C@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccccc2)n1","7.58"
"CHEMBL3702977","N#C[C@H]1C[C@@H](NCC(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1","8.0"
"CHEMBL3702979","N#C[C@H]1C[C@@H](NCC(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1","7.96"
